"","fat","rating"
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"21",0,2
"22",0,2
"23",0,2
"24",0,2
"25",0,2
"26",0,2
"27",0,2
"28",0,2
"29",0,2
"210",0,2
"211",0,2
"212",0,2
"213",0,2
"214",0,2
"215",0,2
"216",0,2
"217",0,2
"31",0,3
"32",0,3
"33",0,3
"34",0,3
"35",0,3
"36",0,3
"37",0,3
"38",0,3
"41",0,4
"43",0,4
"44",0,4
"45",0,4
"46",0,4
"47",0,4
"48",0,4
"49",0,4
"410",0,4
"411",0,4
"412",0,4
"413",0,4
"414",0,4
"415",0,4
"416",0,4
"51",0,5
"52",0,5
"53",0,5
"54",0,5
"55",0,5
"6",0,6
"61",0,6
"62",0,6
"63",0,6
"64",0,6
"65",0,6
"7",0,7
"71",0,7
"72",0,7
"8",0,8
"81",0,8
"9",0,9
"10",0.04,1
"11",0.04,2
"12",0.04,3
"121",0.04,3
"122",0.04,3
"123",0.04,3
"124",0.04,3
"13",0.04,4
"131",0.04,4
"132",0.04,4
"133",0.04,4
"134",0.04,4
"135",0.04,4
"14",0.04,5
"141",0.04,5
"142",0.04,5
"143",0.04,5
"144",0.04,5
"145",0.04,5
"146",0.04,5
"15",0.04,6
"151",0.04,6
"153",0.04,6
"154",0.04,6
"155",0.04,6
"156",0.04,6
"157",0.04,6
"158",0.04,6
"16",0.04,7
"161",0.04,7
"162",0.04,7
"163",0.04,7
"164",0.04,7
"165",0.04,7
"166",0.04,7
"169",0.04,7
"1610",0.04,7
"1611",0.04,7
"1612",0.04,7
"1613",0.04,7
"1614",0.04,7
"1615",0.04,7
"1616",0.04,7
"1617",0.04,7
"1618",0.04,7
"1619",0.04,7
"1620",0.04,7
"17",0.04,8
"171",0.04,8
"172",0.04,8
"173",0.04,8
"174",0.04,8
"175",0.04,8
"176",0.04,8
"177",0.04,8
"178",0.04,8
"179",0.04,8
"1710",0.04,8
"1711",0.04,8
"20",0.08,2
"218",0.08,3
"219",0.08,3
"221",0.08,4
"222",0.08,4
"232",0.08,5
"233",0.08,5
"234",0.08,5
"241",0.08,6
"242",0.08,6
"243",0.08,6
"244",0.08,6
"245",0.08,6
"246",0.08,6
"247",0.08,6
"248",0.08,6
"249",0.08,6
"2410",0.08,6
"2411",0.08,6
"2412",0.08,6
"2413",0.08,6
"251",0.08,7
"252",0.08,7
"253",0.08,7
"254",0.08,7
"255",0.08,7
"256",0.08,7
"257",0.08,7
"258",0.08,7
"259",0.08,7
"2510",0.08,7
"2511",0.08,7
"2512",0.08,7
"2513",0.08,7
"2514",0.08,7
"2515",0.08,7
"2516",0.08,7
"261",0.08,8
"262",0.08,8
"263",0.08,8
"264",0.08,8
"265",0.08,8
"266",0.08,8
"267",0.08,8
"268",0.08,8
"269",0.08,8
"2610",0.08,8
"2611",0.08,8
"2612",0.08,8
"2613",0.08,8
"2614",0.08,8
"2615",0.08,8
"2616",0.08,8
"2617",0.08,8
"2619",0.08,8
"2620",0.08,8
"272",0.08,9
"273",0.08,9
"281",0.12,1
"291",0.12,2
"30",0.12,3
"311",0.12,4
"312",0.12,4
"313",0.12,4
"321",0.12,5
"322",0.12,5
"323",0.12,5
"324",0.12,5
"331",0.12,6
"332",0.12,6
"333",0.12,6
"334",0.12,6
"335",0.12,6
"336",0.12,6
"337",0.12,6
"338",0.12,6
"339",0.12,6
"3310",0.12,6
"3311",0.12,6
"341",0.12,7
"342",0.12,7
"343",0.12,7
"344",0.12,7
"345",0.12,7
"346",0.12,7
"347",0.12,7
"348",0.12,7
"349",0.12,7
"3410",0.12,7
"3411",0.12,7
"3412",0.12,7
"3413",0.12,7
"3414",0.12,7
"3415",0.12,7
"351",0.12,8
"352",0.12,8
"353",0.12,8
"354",0.12,8
"355",0.12,8
"356",0.12,8
"357",0.12,8
"358",0.12,8
"359",0.12,8
"3510",0.12,8
"3511",0.12,8
"3512",0.12,8
"3513",0.12,8
"3514",0.12,8
"3515",0.12,8
"3517",0.12,8
"3518",0.12,8
"3519",0.12,8
"3520",0.12,8
"3521",0.12,8
"3522",0.12,8
"3523",0.12,8
"361",0.12,9
"362",0.12,9
"363",0.12,9
"364",0.12,9
"381",0.16,2
"382",0.16,2
"383",0.16,2
"39",0.16,3
"391",0.16,3
"40",0.16,4
"401",0.16,4
"402",0.16,4
"403",0.16,4
"404",0.16,4
"405",0.16,4
"417",0.16,5
"418",0.16,5
"419",0.16,5
"421",0.16,6
"422",0.16,6
"423",0.16,6
"424",0.16,6
"425",0.16,6
"426",0.16,6
"427",0.16,6
"431",0.16,7
"432",0.16,7
"433",0.16,7
"434",0.16,7
"435",0.16,7
"436",0.16,7
"437",0.16,7
"438",0.16,7
"439",0.16,7
"4310",0.16,7
"4312",0.16,7
"4313",0.16,7
"4314",0.16,7
"4315",0.16,7
"4316",0.16,7
"4317",0.16,7
"441",0.16,8
"442",0.16,8
"443",0.16,8
"444",0.16,8
"445",0.16,8
"446",0.16,8
"447",0.16,8
"448",0.16,8
"449",0.16,8
"4410",0.16,8
"4411",0.16,8
"4412",0.16,8
"4413",0.16,8
"4414",0.16,8
"4415",0.16,8
"4416",0.16,8
"4417",0.16,8
"451",0.16,9
"454",0.16,9
"455",0.16,9
"471",0.2,2
"481",0.2,3
"482",0.2,3
"483",0.2,3
"491",0.2,4
"492",0.2,4
"493",0.2,4
"494",0.2,4
"495",0.2,4
"496",0.2,4
"497",0.2,4
"498",0.2,4
"501",0.2,5
"502",0.2,5
"503",0.2,5
"511",0.2,6
"512",0.2,6
"513",0.2,6
"514",0.2,6
"515",0.2,6
"517",0.2,6
"518",0.2,6
"519",0.2,6
"5110",0.2,6
"5111",0.2,6
"5112",0.2,6
"5113",0.2,6
"521",0.2,7
"522",0.2,7
"523",0.2,7
"524",0.2,7
"526",0.2,7
"527",0.2,7
"528",0.2,7
"529",0.2,7
"5210",0.2,7
"5211",0.2,7
"5212",0.2,7
"5213",0.2,7
"5214",0.2,7
"531",0.2,8
"532",0.2,8
"533",0.2,8
"534",0.2,8
"535",0.2,8
"536",0.2,8
"537",0.2,8
"538",0.2,8
"539",0.2,8
"5310",0.2,8
"5311",0.2,8
"541",0.2,9
"542",0.2,9
"543",0.2,9
"544",0.2,9
"545",0.2,9
"548",0.2,9
"551",0.24,1
"56",0.24,2
"561",0.24,2
"562",0.24,2
"563",0.24,2
"564",0.24,2
"57",0.24,3
"571",0.24,3
"572",0.24,3
"573",0.24,3
"58",0.24,4
"581",0.24,4
"582",0.24,4
"583",0.24,4
"584",0.24,4
"585",0.24,4
"586",0.24,4
"587",0.24,4
"588",0.24,4
"589",0.24,4
"5810",0.24,4
"5811",0.24,4
"5812",0.24,4
"5813",0.24,4
"59",0.24,5
"591",0.24,5
"60",0.24,6
"601",0.24,6
"602",0.24,6
"603",0.24,6
"604",0.24,6
"605",0.24,6
"606",0.24,6
"607",0.24,6
"608",0.24,6
"609",0.24,6
"6010",0.24,6
"6011",0.24,6
"6012",0.24,6
"611",0.24,7
"612",0.24,7
"613",0.24,7
"614",0.24,7
"615",0.24,7
"616",0.24,7
"617",0.24,7
"618",0.24,7
"619",0.24,7
"6110",0.24,7
"6111",0.24,7
"6112",0.24,7
"6113",0.24,7
"621",0.24,8
"622",0.24,8
"623",0.24,8
"624",0.24,8
"625",0.24,8
"626",0.24,8
"627",0.24,8
"631",0.24,9
"632",0.24,9
"641",0.28,1
"642",0.28,1
"643",0.28,1
"644",0.28,1
"651",0.28,2
"652",0.28,2
"653",0.28,2
"655",0.28,2
"656",0.28,2
"661",0.28,3
"662",0.28,3
"664",0.28,3
"665",0.28,3
"666",0.28,3
"667",0.28,3
"668",0.28,3
"67",0.28,4
"671",0.28,4
"672",0.28,4
"673",0.28,4
"674",0.28,4
"675",0.28,4
"676",0.28,4
"677",0.28,4
"678",0.28,4
"6710",0.28,4
"68",0.28,5
"681",0.28,5
"682",0.28,5
"683",0.28,5
"684",0.28,5
"69",0.28,6
"691",0.28,6
"692",0.28,6
"693",0.28,6
"694",0.28,6
"695",0.28,6
"697",0.28,6
"698",0.28,6
"70",0.28,7
"701",0.28,7
"702",0.28,7
"703",0.28,7
"704",0.28,7
"705",0.28,7
"706",0.28,7
"712",0.28,8
"713",0.28,8
"714",0.28,8
"715",0.28,8
"716",0.28,8
"717",0.28,8
"718",0.28,8
"721",0.28,9
"722",0.28,9
"723",0.28,9
