"class","density","hardness","size","weight","moisture","type"
"1","hrw",1.34925333333333,60.32952,2.30274,24.648,12.01538,"Healthy"
"2","hrw",1.28743966666667,56.08972,2.72573,33.2985,12.17396,"Healthy"
"3","hrw",1.23398533333333,43.98743,2.51246,31.758,11.87949,"Healthy"
"4","hrw",1.33653366666667,53.81704,2.27164,32.706,12.11407,"Healthy"
"5","hrw",1.25904,44.39327,2.35478,26.07,12.06487,"Healthy"
"6","hrw",1.30025766666667,48.12066,2.49132,33.2985,12.18577,"Healthy"
"7","hrw",1.31084033333333,48.90826,3.06134,36.498,11.70869,"Healthy"
"8","hrw",1.26126166666667,31.22386,2.70427,30.6915,12.2823,"Healthy"
"9","hrw",1.289228,32.51999,2.71499,34.128,11.89823,"Healthy"
"10","hrw",1.249943,23.58502,2.17895,30.2175,11.49407,"Healthy"
"11","hrw",1.21884466666667,55.39337,1.92688,22.1595,11.66021,"Healthy"
"12","hrw",1.26104033333333,41.65339,2.06701,25.7145,11.6154,"Healthy"
"13","hrw",1.22412966666667,23.40429,2.24063,27.492,11.63755,"Sprout"
"14","hrw",1.31024833333333,30.23363,2.45966,37.0905,11.76122,"Sprout"
"15","hrw",1.08478133333333,37.66656,1.9866,23.8185,10.8017,"Sprout"
"16","hrw",1.25783233333333,44.82628,2.72573,32.3505,11.92395,"Sprout"
"17","hrw",1.22217833333333,44.76003,1.58038,17.775,11.25645,"Sprout"
"18","hrw",1.27382666666667,44.90561,2.29235,29.388,11.90891,"Sprout"
"19","hrw",1.20706866666667,48.06401,1.69349,19.7895,11.58091,"Sprout"
"20","hrw",1.25904433333333,54.85931,2.92001,33.7725,11.62994,"Sprout"
"21","hrw",1.22534866666667,31.78179,2.23032,25.4775,11.49161,"Sprout"
"22","hrw",1.26179833333333,13.50923,2.15848,32.469,11.35804,"Sprout"
"23","hrw",1.229063,34.42005,2.96342,36.3795,11.90463,"Sprout"
"24","hrw",1.14421766666667,36.22179,2.29235,22.6335,11.80988,"Sprout"
"25","hrw",1.04696933333333,97.32772,2.80106,28.7955,11.44522,"Scab"
"26","hrw",1.20976466666667,67.09933,1.79933,22.3965,11.06002,"Scab"
"27","hrw",0.980528,81.02776,1.08123,10.7835,10.36699,"Scab"
"28","hrw",1.18073933333333,36.93693,2.48075,37.5645,11.39156,"Scab"
"29","hrw",0.845568,-2.49944,1.33562,13.3905,11.88724,"Scab"
"30","hrw",0.877583333333333,-0.5204,2.22003,19.434,11.8531,"Scab"
"31","hrw",0.918647666666667,57.30509,1.84809,15.2865,11.11906,"Scab"
"32","hrw",1.22664533333333,62.58716,2.34436,24.0555,11.91625,"Scab"
"33","hrw",1.122038,71.65434,1.29188,14.694,11.6898,"Scab"
"34","hrw",1.26859066666667,52.78539,2.07712,23.5815,11.5368,"Scab"
"35","hrw",1.270744,67.5039,2.27164,29.5065,11.47427,"Scab"
"36","hrw",1.190085,29.3,1.51,20.38,8.26,"Healthy"
"37","hrw",1.263506,4.95,2.82,26.78,8.46,"Healthy"
"38","hrw",1.371099,22.25,2.05,30.57,7.57,"Healthy"
"39","hrw",1.30526866666667,33.07,2.35,25.6,7.95,"Healthy"
"40","hrw",1.24507366666667,11.24,2.67,36.73,7.64,"Healthy"
"41","hrw",1.36809133333333,35.6,2.4,31.04,7.23,"Healthy"
"42","hrw",1.34346566666667,21.81,2.55,30.81,8.13,"Healthy"
"43","hrw",1.275336,45.55,1.46,17.77,8.1,"Healthy"
"44","hrw",1.24954833333333,30.71,2.31,29.38,7.83,"Healthy"
"45","hrw",1.30649466666667,11.2,2.09,30.81,7.82,"Healthy"
"46","hrw",1.314825,23.82,2.23,32.94,7.51,"Healthy"
"47","hrw",1.34986733333333,16.67,2.77,31.28,7.09,"Healthy"
"48","hrw",1.14822166666667,32.93,1.87,21.8,7.65,"Sprout"
"49","hrw",1.22654366666667,-6.3,2.02,25.12,8.45,"Sprout"
"50","hrw",1.218167,23.46,2.33,34.72,6.6,"Sprout"
"51","hrw",1.14947666666667,-1.03,2.71,31.75,7.59,"Sprout"
"52","hrw",1.175924,0.74,2.7,28.32,8.18,"Sprout"
"53","hrw",1.20152466666667,-28.85,2.05,29.86,8.45,"Sprout"
"54","hrw",1.22463233333333,-22.48,2.51,37.56,7.75,"Sprout"
"55","hrw",1.236634,-12.54,2.37,37.92,7.74,"Sprout"
"56","hrw",1.223135,-12.58,1.89,28.32,8.22,"Sprout"
"57","hrw",1.26974966666667,-25.67,2.52,33.41,8.1,"Sprout"
"58","hrw",1.219436,-11.85,3.08,30.1,8.21,"Sprout"
"59","hrw",1.150738,-5.58,2.6,31.28,8.46,"Sprout"
"60","hrw",1.181352,4.55,2.47,25.35,8.42,"Scab"
"61","hrw",1.23175533333333,32.87,1.87,15.16,8.14,"Scab"
"62","hrw",0.937482,-6.07,2.53,27.01,8.07,"Scab"
"63","hrw",1.08210266666667,36.21,1.488,14.69,10.65,"Scab"
"64","hrw",1.14045933333333,26.99,1.712,18.72,11.12,"Scab"
"65","hrw",0.99216,-14.54,1.56,17.42,8.84,"Scab"
"66","hrw",0.866821666666667,-44.08,1.85,24.76,8.68,"Scab"
"67","hrw",1.22665966666667,-6.99,1.89,28.55,8.44,"Scab"
"68","hrw",0.993598,-9.62,1.28,16.35,8.37,"Scab"
"69","hrw",0.735189,71.12,2.47,34.72,10.24,"Scab"
"70","hrw",1.12022633333333,20.46,1.57,17.06,8.65,"Scab"
"71","hrw",1.08625,40.74,1.96,17.42,8.42,"Scab"
"72","hrw",1.48844333333333,53.09,1.93,20.02,11.98,"Healthy"
"73","hrw",1.18596933333333,26.69,1.65,18.96,12.46,"Healthy"
"74","hrw",1.23928833333333,52.79,2.47,32.94,12.41,"Healthy"
"75","hrw",1.27196166666667,57.33,2.61,34.95,12.29,"Healthy"
"76","hrw",1.236147,45.26,2.19,31.75,11.92,"Healthy"
"77","hrw",1.13229266666667,56.75,2.27,26.07,12.29,"Healthy"
"78","hrw",1.17683366666667,32.57,1.48,18.96,12.03,"Healthy"
"79","hrw",1.22259866666667,26.25,2.58,36.49,12.03,"Healthy"
"80","hrw",1.17684666666667,55.06,2.04,26.42,11.9,"Healthy"
"81","hrw",1.16474966666667,46.65,2.26,28.2,12.21,"Healthy"
"82","hrw",1.29686933333333,63.26,2.48,31.99,11.76,"Healthy"
"83","hrw",1.18588366666667,55.38,2.1,26.78,11.67,"Healthy"
"84","hrw",1.155389,29.68,2.8,31.4,11.91,"Sprout"
"85","hrw",1.23967066666667,40.67,2.48,30.57,11.64,"Sprout"
"86","hrw",1.20928466666667,40.29,2.8,39.1,12.03,"Sprout"
"87","hrw",1.23860733333333,66.82,3.26,34.36,11.71,"Sprout"
"88","hrw",1.181579,44.35,2.44,30.45,11.61,"Sprout"
"89","hrw",1.06961066666667,51.66,2.42,28.44,12.17,"Sprout"
"90","hrw",1.14617533333333,60.11,2.12,21.8,11.32,"Sprout"
"91","hrw",1.13253933333333,64.29,2.03,20.5,11.54,"Sprout"
"92","hrw",1.005652,48.99,2.44,28.79,11.78,"Sprout"
"93","hrw",1.231181,35.76,2.54,32.82,11.71,"Sprout"
"94","hrw",1.17547533333333,19.55,2.62,33.77,11.99,"Sprout"
"95","hrw",1.146585,25.43,2.66,33.65,12.51,"Sprout"
"96","hrw",1.02346133333333,69.64,1.9,18.6,11.58,"Scab"
"97","hrw",0.847346333333333,55.42,1.62,15.52,11.09,"Scab"
"98","hrw",1.16961366666667,22.72,1.84,27.61,11.51,"Scab"
"99","hrw",1.104465,36.01,2.61,31.04,12.09,"Scab"
"100","hrw",0.929798133333333,44.05,1.97,17.77,11.57,"Scab"
"101","hrw",1.18465666666667,0.34,1.77,22.39,11.5,"Scab"
"102","hrw",1.07105733333333,51.44,2.52,27.96,11.37,"Scab"
"103","hrw",1.184807,77.48,2.45,25.71,11.66,"Scab"
"104","hrw",1.198946,42.63,2.76,35.55,11.78,"Scab"
"105","hrw",1.64537933333333,14.12,1.84,21.8,12.26,"Scab"
"106","hrw",0.885301,52.24,2.34,30.69,11.59,"Scab"
"107","hrw",1.07730433333333,40.01,2.08,23.22,11.63,"Scab"
"108","hrw",1.308138,56.26613,2.30274,26.4255,7.31146,"Healthy"
"109","hrw",1.38480266666667,53.0719,2.4281,26.544,7.224,"Healthy"
"110","hrw",1.239068,51.50477,1.96664,24.0555,7.79723,"Healthy"
"111","hrw",1.25956066666667,74.20365,2.09739,21.4485,7.29487,"Healthy"
"112","hrw",1.29131933333333,-11.6892,1.87751,26.4255,8.55695,"Healthy"
"113","hrw",1.31474333333333,53.18145,2.53364,35.55,6.68903,"Healthy"
"114","hrw",1.305649,65.76365,2.81185,34.7205,6.48554,"Healthy"
"115","hrw",1.313662,73.32533,2.19946,26.307,6.97526,"Healthy"
"116","hrw",1.345524,22.91489,2.87668,32.469,7.61263,"Healthy"
"117","hrw",1.25933933333333,50.51054,2.20974,26.781,7.73085,"Healthy"
"118","hrw",1.31226166666667,49.32363,2.4071,24.648,7.43514,"Healthy"
"119","hrw",1.279238,70.97478,3.09405,25.0035,7.53971,"Healthy"
"120","hrw",1.199593,70.85594,2.59739,24.5295,7.94088,"Sprout"
"121","hrw",1.188154,61.95479,2.26129,26.4255,7.15694,"Sprout"
"122","hrw",1.282499,36.15591,1.8383,22.041,8.11787,"Sprout"
"123","hrw",1.19028033333333,53.86185,2.76873,30.9285,6.96408,"Sprout"
"124","hrw",1.180343,45.66249,1.5064,19.434,7.95767,"Sprout"
"125","hrw",1.24643366666667,34.69612,3.68474,29.388,7.26695,"Sprout"
"126","hrw",1.303338,-7.16683,1.86769,26.307,8.68721,"Sprout"
"127","hrw",1.07136766666667,111.9339,1.78962,17.775,7.0905,"Sprout"
"128","hrw",1.19029933333333,20.09846,2.00662,25.2405,7.60144,"Sprout"
"129","hrw",1.10711733333333,62.5782,2.4176,25.0035,8.28211,"Sprout"
"130","hrw",1.225253,19.49289,2.18919,29.151,7.69366,"Sprout"
"131","hrw",1.377886,70.85594,2.59739,24.5295,7.94088,"Sprout"
"132","hrw",1.04014133333333,11.25277,1.77994,23.226,7.9816,"Scab"
"133","hrw",0.980417666666667,-10.9931,2.4281,25.7145,7.97399,"Scab"
"134","hrw",0.987744666666667,-23.0928,2.09739,24.2925,8.78203,"Scab"
"135","hrw",0.925342333333333,26.51203,2.07712,28.5585,7.50853,"Scab"
"136","hrw",1.070891,31.05061,2.4071,26.07,7.99433,"Scab"
"137","hrw",1.10595266666667,5.63174,2.66143,30.2175,7.86725,"Scab"
"138","hrw",0.905567333333333,-10.8244,2.04683,29.388,8.49465,"Scab"
"139","hrw",1.13381133333333,33.45315,0.95389,11.2575,8.62039,"Scab"
"140","hrw",1.153847,73.27228,0.94613,9.8355,8.38773,"Scab"
"141","hrw",1.04208433333333,98.15546,1.16384,9.3615,8.00542,"Scab"
"142","hrw",1.07025866666667,83.19812,1.70302,14.931,7.55371,"Scab"
"143","hrw",1.01093,54.43367,1.66498,14.931,8.51863,"Scab"
"144","srw",1.62225433333333,6.23458,2.17895,29.151,12.27918,"Healthy"
"145","srw",1.19217133333333,-0.17575,1.84809,28.5585,12.53377,"Healthy"
"146","srw",1.233615,10.52491,2.58675,37.92,12.26041,"Healthy"
"147","srw",1.203235,-0.76206,2.59739,31.758,12.73552,"Healthy"
"148","srw",1.14364466666667,16.6823,2.59739,29.9805,12.53443,"Healthy"
"149","srw",1.27339433333333,3.00449,2.15848,31.6395,12.65594,"Healthy"
"150","srw",1.144255,-5.51394,2.69355,39.6975,12.54105,"Healthy"
"151","srw",1.23655433333333,-12.0173,2.31312,41.475,11.86678,"Healthy"
"152","srw",1.18159466666667,25.47469,1.70302,20.619,12.20732,"Healthy"
"153","srw",1.29418966666667,20.53321,2.4281,37.683,12.42688,"Healthy"
"154","srw",1.427629,-12.9427,1.85788,26.307,12.44434,"Healthy"
"155","srw",1.239744,3.15802,2.32353,38.9865,12.33767,"Healthy"
"156","srw",1.259089,19.56428,4.30998,37.0905,12.10541,"Sprout"
"157","srw",1.10913166666667,-3.0552,1.85788,22.1595,12.69419,"Sprout"
"158","srw",1.15829933333333,32.83598,2.28199,35.787,11.69507,"Sprout"
"159","srw",1.203221,-23.4362,3.15953,40.053,12.3666,"Sprout"
"160","srw",1.14726533333333,38.78931,3.01778,33.7725,12.39837,"Sprout"
"161","srw",1.261747,-1.03503,2.39661,40.1715,11.84988,"Sprout"
"162","srw",1.17281733333333,-0.9851,1.82854,23.3445,12.71937,"Sprout"
"163","srw",1.109444,5.6667,2.52305,28.44,12.04182,"Sprout"
"164","srw",1.150151,-16.1338,2.29235,41.712,11.92404,"Sprout"
"165","srw",1.18743333333333,8.7379,2.51246,45.741,11.61794,"Sprout"
"166","srw",1.213438,3.53021,2.53364,35.55,11.65662,"Sprout"
"167","srw",1.126752,34.09319,2.14827,33.5355,12.07689,"Sprout"
"168","srw",1.14457666666667,15.04724,1.89722,24.411,12.21705,"Scab"
"169","srw",1.08438233333333,-4.50582,2.06701,22.041,11.91807,"Scab"
"170","srw",1.169187,39.00045,1.95668,17.064,11.54259,"Scab"
"171","srw",1.09769233333333,36.82672,1.25726,13.509,11.776,"Scab"
"172","srw",1.07060133333333,22.47591,2.05691,21.567,12.01604,"Scab"
"173","srw",0.961614,13.16435,2.05691,17.538,11.87417,"Scab"
"174","srw",1.1581,22.43349,1.48809,20.0265,11.89759,"Scab"
"175","srw",1.13422833333333,38.48267,1.74135,18.6045,11.8934,"Scab"
"176","srw",1.129085,22.10108,2.03676,18.8415,12.01735,"Scab"
"177","srw",1.12421966666667,-1.38244,1.54324,15.642,12.24076,"Scab"
"178","srw",0.8,8.36343,3.20325,27.492,12.07506,"Scab"
"179","srw",0.880704666666667,24.63187,1.46986,15.879,11.5412,"Scab"
"180","srw",1.28725066666667,27.6004,2.4702,35.9055,12.81435,"Healthy"
"181","srw",1.225147,-11.1872,2.27164,44.6745,13.25378,"Healthy"
"182","srw",1.28861166666667,11.38096,1.9966,26.1885,13.51847,"Healthy"
"183","srw",1.24469733333333,-8.46018,2.24063,36.261,13.07539,"Healthy"
"184","srw",1.27903866666667,-12.0744,1.84809,26.781,13.82144,"Healthy"
"185","srw",1.30265366666667,5.56456,2.87668,44.556,12.92136,"Healthy"
"186","srw",1.19877233333333,77.02892,2.4702,29.5065,12.93849,"Healthy"
"187","srw",1.35213533333333,-26.4447,2.57611,30.573,13.8733,"Healthy"
"188","srw",1.29244833333333,-4.90767,2.15848,36.972,13.30547,"Healthy"
"189","srw",1.22254533333333,-6.83716,2.44913,40.764,13.32204,"Healthy"
"190","srw",1.26886766666667,-1.64366,1.60841,22.515,13.81467,"Healthy"
"191","srw",1.32613166666667,8.5077,2.23032,25.9515,13.3035,"Healthy"
"192","srw",0.976177333333333,-7.63592,2.05691,34.4835,12.72665,"Sprout"
"193","srw",1.25294766666667,15.62019,2.52305,31.758,13.20516,"Sprout"
"194","srw",1.113791,19.40951,2.45966,24.648,13.45627,"Sprout"
"195","srw",1.095937,-2.28628,2.58675,38.0385,12.95496,"Sprout"
"196","srw",1.16860566666667,-6.24163,2.68283,46.3335,13.12073,"Sprout"
"197","srw",1.045191,16.2028,1.89722,29.2695,12.41649,"Sprout"
"198","srw",1.241903,-6.08414,2.50188,31.047,13.17435,"Sprout"
"199","srw",1.27884733333333,-8.87178,2.33393,35.4315,13.47477,"Sprout"
"200","srw",1.17199933333333,-1.30905,2.69355,40.8825,12.99321,"Sprout"
"201","srw",1.255882,11.92754,2.52305,38.5125,12.83305,"Sprout"
"202","srw",1.237274,-1.48828,2.12787,30.6915,13.20985,"Sprout"
"203","srw",1.10658966666667,-15.9582,1.96664,29.862,13.62114,"Sprout"
"204","srw",1.144014,13.45264,1.89722,21.9225,13.91468,"Scab"
"205","srw",1.19272733333333,65.99435,1.88736,17.064,12.77439,"Scab"
"206","srw",1.13742266666667,20.99536,1.41563,17.775,12.94971,"Scab"
"207","srw",1.30070133333333,46.46834,1.66498,12.4425,12.47401,"Scab"
"208","srw",1.16395366666667,24.46514,1.58038,13.3905,14.51433,"Scab"
"209","srw",1.12451333333333,23.48377,1.28319,13.983,13.84528,"Scab"
"210","srw",1.31972833333333,25.60084,1.78962,20.619,13.33237,"Scab"
"211","srw",0.8,14.74787,1.92688,20.145,13.30671,"Scab"
"212","srw",1.20693266666667,6.36553,2.15848,24.7665,13.36385,"Scab"
"213","srw",1.24224633333333,66.98748,2.4281,33.0615,12.3372,"Scab"
"214","srw",0.97959,36.56053,2.16871,20.382,13.0911,"Scab"
"215","srw",1.07900566666667,4.89776,1.93679,19.908,13.72817,"Scab"
"216","srw",1.282501,-5.44852,3.19232,45.6225,13.13538,"Healthy"
"217","srw",1.244091,-1.20203,2.65074,38.394,13.13604,"Healthy"
"218","srw",1.23361033333333,31.06556,1.84809,28.44,12.51565,"Healthy"
"219","srw",1.28760066666667,66.84229,2.4702,29.862,11.98804,"Healthy"
"220","srw",1.27173,0.87423,2.49132,42.3045,13.04905,"Healthy"
"221","srw",1.29400433333333,-3.48519,2.55486,37.683,13.54424,"Healthy"
"222","srw",1.28900733333333,24.0519,3.06134,32.1135,13.2724,"Healthy"
"223","srw",1.26216433333333,0.26953,2.35478,32.5875,13.66358,"Healthy"
"224","srw",1.30528133333333,50.66094,2.19946,28.914,13.04028,"Healthy"
"225","srw",1.28286966666667,-2.24246,2.56548,29.151,13.40495,"Healthy"
"226","srw",1.245388,15.81508,2.50188,40.1715,13.37301,"Healthy"
"227","srw",1.307234,58.57529,1.94673,25.0035,12.97925,"Healthy"
"228","srw",1.20350866666667,0.63807,2.38615,28.203,12.93818,"Sprout"
"229","srw",1.17458666666667,0.5233,2.51246,43.2525,13.07586,"Sprout"
"230","srw",1.01797733333333,50.00835,2.99603,34.128,11.83168,"Sprout"
"231","srw",1.20779866666667,-0.49553,1.74135,22.6335,13.2187,"Sprout"
"232","srw",1.27576333333333,3.20802,2.45966,38.868,13.30591,"Sprout"
"233","srw",1.12477,-0.26282,2.28199,26.1885,12.65582,"Sprout"
"234","srw",1.22160833333333,-17.95,1.52478,24.2925,13.17049,"Sprout"
"235","srw",1.158656,23.16695,2.48075,21.567,12.82952,"Sprout"
"236","srw",1.17740133333333,13.25644,2.67212,36.735,12.65187,"Sprout"
"237","srw",1.176584,-2.94362,2.01665,32.8245,13.34171,"Sprout"
"238","srw",1.19953433333333,-8.3484,2.48075,37.209,12.77824,"Sprout"
"239","srw",0.995293666666667,-3.43824,1.62719,19.5525,12.50486,"Sprout"
"240","srw",1.215697,29.7582,2.67212,33.7725,11.97631,"Healthy"
"241","srw",1.27584933333333,16.98641,2.12787,25.833,12.66404,"Healthy"
"242","srw",1.30275466666667,30.37201,2.94171,37.683,12.10802,"Healthy"
"243","srw",1.279942,43.12895,2.4281,27.6105,11.70477,"Healthy"
"244","srw",1.19908833333333,29.06651,3.17046,24.885,12.13085,"Healthy"
"245","srw",1.25996,6.3849,2.27164,35.1945,12.1593,"Healthy"
"246","srw",1.260046,18.39776,2.02669,23.8185,12.26906,"Healthy"
"247","srw",1.55286433333333,25.63912,2.28199,27.255,12.08553,"Healthy"
"248","srw",1.34160366666667,60.25526,2.14827,30.099,12.22773,"Healthy"
"249","srw",1.30871333333333,24.1194,2.55486,41.5935,12.62896,"Healthy"
"250","srw",1.33755833333333,35.30435,1.6178,18.8415,12.70119,"Healthy"
"251","srw",1.30402933333333,34.37985,1.81878,20.145,12.06636,"Healthy"
"252","srw",1.23996133333333,29.32858,2.18919,30.81,11.93211,"Sprout"
"253","srw",1.17206633333333,29.67731,1.46077,21.6855,11.72121,"Sprout"
"254","srw",1.24728733333333,-5.68798,3.09405,40.527,12.71647,"Sprout"
"255","srw",1.20527166666667,2.37606,2.15848,32.5875,12.49313,"Sprout"
"256","srw",1.238734,9.83332,2.38615,27.018,11.8631,"Sprout"
"257","srw",1.251036,-5.8661,2.68283,36.498,12.92718,"Sprout"
"258","srw",1.29623333333333,2.57604,2.23032,40.1715,11.88764,"Sprout"
"259","srw",1.22763766666667,-8.19215,2.23032,26.307,12.68967,"Sprout"
"260","srw",1.30938066666667,-2.83553,2.44913,28.203,12.51147,"Sprout"
"261","srw",1.21263933333333,8.24737,2.23032,30.81,12.13459,"Sprout"
"262","srw",1.18274833333333,7.35523,2.00662,26.1885,12.6224,"Sprout"
"263","srw",1.20334966666667,14.33828,1.97661,32.5875,12.43055,"Sprout"
"264","srw",0.844701333333333,-1.30209,1.46986,15.168,12.88041,"Scab"
"265","srw",1.216419,69.30093,1.46986,17.775,12.15555,"Scab"
"266","srw",0.8,16.13852,1.38877,13.1535,11.90115,"Scab"
"267","srw",1.40531766666667,54.24427,1.74135,14.22,12.78569,"Scab"
"268","srw",0.949941,-1.52412,0.5973,13.6275,12.69,"Scab"
"269","srw",0.934323333333333,48.66988,0.88496,8.532,11.81367,"Scab"
"270","srw",1.25392966666667,40.54961,2.08724,20.5005,11.89474,"Scab"
"271","srw",1.21849366666667,38.49846,1.77994,17.4195,12.16533,"Scab"
"272","srw",1.26736266666667,29.58708,2.03676,23.8185,12.44913,"Scab"
"273","srw",0.849188666666667,34.06615,1.40665,12.087,11.92744,"Scab"
"274","srw",1.177023,60.97838,1.0569,9.48,12.24046,"Scab"
"275","srw",1.03055433333333,-9.57063,2.05691,23.8185,12.64962,"Scab"
